statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;KOS-NETZ;Netzkosten;VBRST1;Strom-Jahresverbrauchsklassen Haushalte;HH-STR-DE;15 000 KWh und mehr;0,0487;EUR/kWh;PRE060;Strompreise für Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;STR-ABG-UML;Steuern, Abgaben und Umlagen;VBRST1;Strom-Jahresverbrauchsklassen Haushalte;HH-STR-DA;unter 1 000 KWh;0,1481;EUR/kWh;PRE060;Strompreise für Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;STR-ABG-UML;Steuern, Abgaben und Umlagen;VBRST1;Strom-Jahresverbrauchsklassen Haushalte;;Insgesamt;0,1608;EUR/kWh;PRE060;Strompreise für Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;KOS-NETZ;Netzkosten;VBRST1;Strom-Jahresverbrauchsklassen Haushalte;;Insgesamt;0,1217;EUR/kWh;PRE060;Strompreise für Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;KOS-NETZ;Netzkosten;VBRST1;Strom-Jahresverbrauchsklassen Haushalte;HH-STR-DA;unter 1 000 KWh;0,1574;EUR/kWh;PRE060;Strompreise für Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;KOS-NETZ;Netzkosten;VBRST1;Strom-Jahresverbrauchsklassen Haushalte;HH-STR-DD;5 000 bis unter 15 000 KWh;0,0592;EUR/kWh;PRE060;Strompreise für Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;ENR-VTB;Energie und Vertrieb;VBRST1;Strom-Jahresverbrauchsklassen Haushalte;;Insgesamt;0,0617;EUR/kWh;PRE060;Strompreise für Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;KOS-NETZ;Netzkosten;VBRST1;Strom-Jahresverbrauchsklassen Haushalte;HH-STR-DC;2 500 bis unter 5 000 KWh;0,0864;EUR/kWh;PRE060;Strompreise für Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;ENR-VTB;Energie und Vertrieb;VBRST1;Strom-Jahresverbrauchsklassen Haushalte;;Insgesamt;0,1345;EUR/kWh;PRE060;Strompreise für Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;STR-ABG-UML;Steuern, Abgaben und Umlagen;VBRST1;Strom-Jahresverbrauchsklassen Haushalte;;Insgesamt;0,1639;EUR/kWh;PRE060;Strompreise für Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;STR-ABG-UML;Steuern, Abgaben und Umlagen;VBRST1;Strom-Jahresverbrauchsklassen Haushalte;HH-STR-DC;2 500 bis unter 5 000 KWh;0,1556;EUR/kWh;PRE060;Strompreise für Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;ENR-VTB;Energie und Vertrieb;VBRST1;Strom-Jahresverbrauchsklassen Haushalte;HH-STR-DD;5 000 bis unter 15 000 KWh;0,0735;EUR/kWh;PRE060;Strompreise für Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;KOS-NETZ;Netzkosten;VBRST1;Strom-Jahresverbrauchsklassen Haushalte;HH-STR-DC;2 500 bis unter 5 000 KWh;0,1147;EUR/kWh;PRE060;Strompreise für Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;ENR-VTB;Energie und Vertrieb;VBRST1;Strom-Jahresverbrauchsklassen Haushalte;HH-STR-DB;1 000 bis unter 2 500 KWh;0,1435;EUR/kWh;PRE060;Strompreise für Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;KOS-NETZ;Netzkosten;VBRST1;Strom-Jahresverbrauchsklassen Haushalte;;Insgesamt;0,0804;EUR/kWh;PRE060;Strompreise für Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;ENR-VTB;Energie und Vertrieb;VBRST1;Strom-Jahresverbrauchsklassen Haushalte;HH-STR-DC;2 500 bis unter 5 000 KWh;0,0581;EUR/kWh;PRE060;Strompreise für Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;ENR-VTB;Energie und Vertrieb;VBRST1;Strom-Jahresverbrauchsklassen Haushalte;HH-STR-DD;5 000 bis unter 15 000 KWh;0,1993;EUR/kWh;PRE060;Strompreise für Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;ENR-VTB;Energie und Vertrieb;VBRST1;Strom-Jahresverbrauchsklassen Haushalte;HH-STR-DB;1 000 bis unter 2 500 KWh;0,1806;EUR/kWh;PRE060;Strompreise für Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;STR-ABG-UML;Steuern, Abgaben und Umlagen;VBRST1;Strom-Jahresverbrauchsklassen Haushalte;HH-STR-DC;2 500 bis unter 5 000 KWh;0,1147;EUR/kWh;PRE060;Strompreise für Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;KOS-NETZ;Netzkosten;VBRST1;Strom-Jahresverbrauchsklassen Haushalte;HH-STR-DC;2 500 bis unter 5 000 KWh;0,0804;EUR/kWh;PRE060;Strompreise für Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;STR-ABG-UML;Steuern, Abgaben und Umlagen;VBRST1;Strom-Jahresverbrauchsklassen Haushalte;HH-STR-DC;2 500 bis unter 5 000 KWh;0,1589;EUR/kWh;PRE060;Strompreise für Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;ENR-VTB;Energie und Vertrieb;VBRST1;Strom-Jahresverbrauchsklassen Haushalte;HH-STR-DB;1 000 bis unter 2 500 KWh;0,0742;EUR/kWh;PRE060;Strompreise für Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;STR-ABG-UML;Steuern, Abgaben und Umlagen;VBRST1;Strom-Jahresverbrauchsklassen Haushalte;HH-STR-DB;1 000 bis unter 2 500 KWh;0,1705;EUR/kWh;PRE060;Strompreise für Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;STR-ABG-UML;Steuern, Abgaben und Umlagen;VBRST1;Strom-Jahresverbrauchsklassen Haushalte;HH-STR-DD;5 000 bis unter 15 000 KWh;0,1076;EUR/kWh;PRE060;Strompreise für Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;STR-ABG-UML;Steuern, Abgaben und Umlagen;VBRST1;Strom-Jahresverbrauchsklassen Haushalte;HH-STR-DE;15 000 KWh und mehr;0,1091;EUR/kWh;PRE060;Strompreise für Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;KOS-NETZ;Netzkosten;VBRST1;Strom-Jahresverbrauchsklassen Haushalte;HH-STR-DD;5 000 bis unter 15 000 KWh;0,0742;EUR/kWh;PRE060;Strompreise für Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;STR-ABG-UML;Steuern, Abgaben und Umlagen;VBRST1;Strom-Jahresverbrauchsklassen Haushalte;;Insgesamt;0,1223;EUR/kWh;PRE060;Strompreise für Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;KOS-NETZ;Netzkosten;VBRST1;Strom-Jahresverbrauchsklassen Haushalte;HH-STR-DB;1 000 bis unter 2 500 KWh;0,0937;EUR/kWh;PRE060;Strompreise für Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;STR-ABG-UML;Steuern, Abgaben und Umlagen;VBRST1;Strom-Jahresverbrauchsklassen Haushalte;HH-STR-DE;15 000 KWh und mehr;0,146;EUR/kWh;PRE060;Strompreise für Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;STR-ABG-UML;Steuern, Abgaben und Umlagen;VBRST1;Strom-Jahresverbrauchsklassen Haushalte;;Insgesamt;0,1571;EUR/kWh;PRE060;Strompreise für Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;KOS-NETZ;Netzkosten;VBRST1;Strom-Jahresverbrauchsklassen Haushalte;HH-STR-DC;2 500 bis unter 5 000 KWh;0,074;EUR/kWh;PRE060;Strompreise für Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;KOS-NETZ;Netzkosten;VBRST1;Strom-Jahresverbrauchsklassen Haushalte;;Insgesamt;0,0978;EUR/kWh;PRE060;Strompreise für Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;KOS-NETZ;Netzkosten;VBRST1;Strom-Jahresverbrauchsklassen Haushalte;HH-STR-DB;1 000 bis unter 2 500 KWh;0,0992;EUR/kWh;PRE060;Strompreise für Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;ENR-VTB;Energie und Vertrieb;VBRST1;Strom-Jahresverbrauchsklassen Haushalte;;Insgesamt;0,0824;EUR/kWh;PRE060;Strompreise für Haushalte;e
